"time_secs1970","tbsky30","first_cbh","rain_intensity","tbsky31","cat_wetwindow"
1403331227,-1,-1,-1,-1,-1
1390511242,11.1029996871948,4030,0,11.7399997711182,0
1391546560,19.2970008850098,340,0,19.8799991607666,0
1417468100,15.7069997787476,1110,0,16.7199993133545,0
1410969038,26.8920001983643,-1,0,26.3899993896484,0
1402663327,17.7180004119873,-1,0,17.8400001525879,0
1419568736,14.3500003814697,5530,0,14.4399995803833,0
1402097387,24.4440002441406,4210,0,24.3600006103516,0
1400259160,17.8770008087158,4430,0,17.1700000762939,0
1418436980,26.4270000457764,120,0,27.1100006103516,0
1417887600,26.3740005493164,150,0,27.4899997711182,0
1409797821,27.1240005493164,-1,0,27.7800006866455,0
1416873405,11.326000213623,-1,0,12,0
1392359400,20.6399993896484,5190,0,20.1000003814697,0
1407763423,26.8689994812012,-1,0,26.5799999237061,0
1410431800,24.4230003356934,520,0,24.4400005340576,0
1398133232,19.6959991455078,-1,0,19.7600002288818,0
1394539443,14.6090002059937,-1,0,14.9899997711182,0
